BF,BFactions,D,EL,Delta_AIQ,HCI,t,Significant,AGNT1,AGNT2
BF,5,1,30000,10.5,0.6,31.69,yes,Q0D,FreqD
BF,5,1,30000,1.8,1.1,3.33,yes,DualDQD,QλC
BF,5,1,30000,2.2,1.1,4.09,yes,DualDQD,PPO
BF,5,1,30000,3.0,1.1,5.57,yes,DualDQD,Q0C
BF,5,1,30000,3.1,1.4,4.29,yes,DualDQD,DQC
BF,5,1,30000,8.4,1.0,15.94,yes,DualDQD,VPG
BF,5,1,30000,8.9,1.1,16.46,yes,DualDQD,FreqC
BF,5,1,30000,10.4,1.1,18.99,yes,DualDQD,FreqD
BF,5,1,30000,0.4,0.6,1.25,no,QλC,PPO
BF,5,1,30000,1.2,0.6,3.75,yes,QλC,Q0C
BF,5,1,30000,1.3,1.1,2.24,yes,QλC,DQC
BF,5,1,30000,6.6,0.6,21.94,yes,QλC,VPG
BF,5,1,30000,7.1,0.6,21.92,yes,QλC,FreqC
BF,5,1,30000,8.6,0.7,25.64,yes,QλC,FreqD
BF,5,1,30000,0.8,0.6,2.53,yes,PPO,Q0C
BF,5,1,30000,0.9,1.1,1.56,no,PPO,DQC
BF,5,1,30000,6.2,0.6,20.93,yes,PPO,VPG
BF,5,1,30000,6.7,0.6,20.96,yes,PPO,FreqC
BF,5,1,30000,8.2,0.6,24.75,yes,PPO,FreqD
BF,5,1,30000,0.1,1.1,0.17,no,Q0C,DQC
BF,5,1,30000,5.4,0.6,18.18,yes,Q0C,VPG
BF,5,1,30000,5.9,0.6,18.42,yes,Q0C,FreqC
BF,5,1,30000,7.4,0.7,22.29,yes,Q0C,FreqD
BF,5,1,30000,5.3,1.1,9.35,yes,DQC,VPG
BF,5,1,30000,5.8,1.1,10.01,yes,DQC,FreqC
BF,5,1,30000,7.3,1.1,12.46,yes,DQC,FreqD
BF,5,1,30000,0.5,0.6,1.66,no,VPG,FreqC
BF,5,1,30000,2.0,0.6,6.39,yes,VPG,FreqD
BF,5,1,30000,1.5,0.7,4.47,yes,FreqC,FreqD
BF,5,1,100000,0.2,0.6,0.63,no,HLQλD,QλD
BF,5,1,100000,0.7,0.6,2.18,yes,HLQλD,Q0D
BF,5,1,100000,0.8,0.6,2.46,yes,HLQλD,HLQλC
