BF,BFactions,D,EL,Delta_AIQ,HCI,t,Significant,AGNT1,AGNT2
BF,5,1,20000,18.7,1.0,36.30,yes,DualDQD,VPG
BF,5,1,20000,1.2,0.6,3.87,yes,QλD,Q0D
BF,5,1,20000,2.7,0.6,8.72,yes,QλD,PPO
BF,5,1,20000,2.8,1.1,4.87,yes,QλD,DQC
BF,5,1,20000,4.2,0.6,12.72,yes,QλD,QλC
BF,5,1,20000,5.6,0.6,17.07,yes,QλD,Q0C
BF,5,1,20000,8.7,0.6,27.58,yes,QλD,FreqC
BF,5,1,20000,11.1,0.6,34.78,yes,QλD,FreqD
BF,5,1,20000,18.5,0.5,66.66,yes,QλD,VPG
BF,5,1,20000,1.5,0.6,4.79,yes,Q0D,PPO
BF,5,1,20000,1.6,1.1,2.77,yes,Q0D,DQC
BF,5,1,20000,3.0,0.7,8.99,yes,Q0D,QλC
BF,5,1,20000,4.4,0.6,13.28,yes,Q0D,Q0C
BF,5,1,20000,7.5,0.6,23.52,yes,Q0D,FreqC
BF,5,1,20000,9.9,0.6,30.69,yes,Q0D,FreqD
BF,5,1,20000,17.3,0.6,61.47,yes,Q0D,VPG
BF,5,1,20000,0.1,1.1,0.17,no,PPO,DQC
BF,5,1,20000,1.5,0.7,4.51,yes,PPO,QλC
BF,5,1,20000,2.9,0.6,8.77,yes,PPO,Q0C
BF,5,1,20000,6.0,0.6,18.85,yes,PPO,FreqC
BF,5,1,20000,8.4,0.6,26.10,yes,PPO,FreqD
BF,5,1,20000,15.8,0.6,56.30,yes,PPO,VPG
BF,5,1,20000,1.4,1.2,2.38,yes,DQC,QλC
BF,5,1,20000,2.8,1.1,4.78,yes,DQC,Q0C
BF,5,1,20000,5.9,1.1,10.18,yes,DQC,FreqC
BF,5,1,20000,8.3,1.1,14.28,yes,DQC,FreqD
BF,5,1,20000,15.7,1.1,28.06,yes,DQC,VPG
BF,5,1,20000,1.4,0.7,4.00,yes,QλC,Q0C
BF,5,1,20000,4.5,0.7,13.30,yes,QλC,FreqC
BF,5,1,20000,6.9,0.7,20.19,yes,QλC,FreqD
BF,5,1,20000,14.3,0.6,47.16,yes,QλC,VPG
BF,5,1,20000,3.1,0.7,9.22,yes,Q0C,FreqC
BF,5,1,20000,5.5,0.7,16.20,yes,Q0C,FreqD
BF,5,1,20000,12.9,0.6,42.89,yes,Q0C,VPG
BF,5,1,20000,2.4,0.6,7.33,yes,FreqC,FreqD
BF,5,1,20000,9.8,0.6,34.15,yes,FreqC,VPG
BF,5,1,20000,7.4,0.6,25.43,yes,FreqD,VPG
BF,5,1,30000,1.2,0.6,3.69,yes,HLQλD,HLQλC
BF,5,1,30000,1.4,1.1,2.50,yes,HLQλD,DualDQC
BF,5,1,30000,1.5,1.1,2.73,yes,HLQλD,DQD
BF,5,1,30000,1.6,0.6,5.07,yes,HLQλD,QλD
BF,5,1,30000,2.0,1.1,3.71,yes,HLQλD,DualDQD
BF,5,1,30000,2.7,0.6,8.45,yes,HLQλD,Q0D
BF,5,1,30000,4.2,0.6,13.26,yes,HLQλD,PPO
BF,5,1,30000,5.1,1.1,8.83,yes,HLQλD,DQC
BF,5,1,30000,5.3,0.7,15.93,yes,HLQλD,QλC
BF,5,1,30000,6.5,0.6,19.71,yes,HLQλD,Q0C
BF,5,1,30000,10.9,0.6,33.95,yes,HLQλD,FreqC
BF,5,1,30000,13.1,0.6,40.00,yes,HLQλD,FreqD
BF,5,1,30000,15.0,0.6,50.82,yes,HLQλD,VPG
BF,5,1,30000,0.2,1.1,0.35,no,HLQλC,DualDQC
BF,5,1,30000,0.3,1.1,0.54,no,HLQλC,DQD
BF,5,1,30000,0.4,0.6,1.24,no,HLQλC,QλD
BF,5,1,30000,0.8,1.1,1.47,no,HLQλC,DualDQD
BF,5,1,30000,1.5,0.6,4.59,yes,HLQλC,Q0D
BF,5,1,30000,3.0,0.6,9.26,yes,HLQλC,PPO
BF,5,1,30000,3.9,1.1,6.70,yes,HLQλC,DQC
BF,5,1,30000,4.1,0.7,12.08,yes,HLQλC,QλC
BF,5,1,30000,5.3,0.7,15.75,yes,HLQλC,Q0C
BF,5,1,30000,9.7,0.6,29.56,yes,HLQλC,FreqC
BF,5,1,30000,11.9,0.7,35.58,yes,HLQλC,FreqD
BF,5,1,30000,13.8,0.6,45.57,yes,HLQλC,VPG
